gamma,strategy,spread,profit,std_profit,final_q,std_final_q,sharpe_ratio,max_inventory,min_inventory,total_trades
0.01,Inventory,1.3689085437337023,58.99418616303242,7.906733483217978,0.3,5.948020457969276,7.4612589748026075,5.3,-5.45,90.8
0.01,Symmetric,1.3689085437337023,58.24539673044679,10.142242993655413,-0.1,7.354912429261497,5.742851632216149,5.6,-6.05,91.3
0.1,Inventory,1.6907704227514233,58.393599573550716,5.023136641679519,0.1,3.851178903578542,11.624927558018097,3.5,-3.4,88.1
0.1,Symmetric,1.6907704227514233,58.80359190246922,8.886312286597603,-0.9,7.468530469136552,6.617322237387178,4.8,-6.5,83.1
0.5,Inventory,3.150728289807123,44.332052994027535,5.5103603748995615,-0.2,2.7260922485067196,8.045218457211265,2.15,-2.35,72.1
0.5,Symmetric,3.150728289807123,53.97511451415623,13.86777855561475,1.45,9.144886405441078,3.892124055608238,6.5,-4.8,58.15
